Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,TerminationType,TerminationDescription
33,No,Travel_Rarely,Research & Development,28,4,Life Sciences,606,Female,1,Manager,Married,60910,1,15,0,5,6,5,1,4,Voluntary,Off part culture choose strong public.
41,Yes,Non-Travel,Research & Development,12,3,Life Sciences,607,Male,2,Sales Representative,Divorced,195660,6,16,0,5,2,1,0,0,Unk,
30,No,Travel_Rarely,Sales,20,3,Marketing,608,Male,3,Sales Executive,Divorced,48100,8,18,0,8,3,4,0,3,Unk,
40,No,Travel_Frequently,Sales,9,3,Medical,609,Male,1,Manufacturing Director,Married,45230,5,16,1,5,5,0,0,0,Unk,
50,No,Travel_Frequently,Research & Development,25,4,Life Sciences,610,Female,2,Healthcare Representative,Married,32020,2,24,1,32,2,2,2,2,Resignation,Teacher door money tend song.
28,No,Travel_Rarely,Research & Development,6,3,Technical Degree,611,Male,2,Research Scientist,Married,23510,1,16,0,6,4,6,3,3,Voluntary,Accept knowledge drop bar understand.
46,No,Travel_Rarely,Research & Development,8,4,Other,612,Male,3,Manager,Married,17020,5,21,0,25,2,4,0,3,Unk,
35,No,Travel_Rarely,Sales,4,4,Marketing,613,Male,1,Laboratory Technician,Married,180410,3,20,1,15,3,7,1,7,Involuntary,Under follow guess lot minute able history face.
24,Yes,Travel_Rarely,Human Resources,28,4,Human Resources,614,Male,3,Manufacturing Director,Married,28860,1,19,1,1,5,1,0,0,Retirement,Main customer television phone staff family.
33,No,Travel_Frequently,Research & Development,9,2,Medical,615,Female,1,Sales Executive,Married,20970,1,14,2,10,5,10,0,1,Retirement,Suffer consider store find up.
36,No,Travel_Rarely,Research & Development,9,2,Medical,616,Male,2,Sales Executive,Divorced,119350,1,11,3,7,6,7,1,7,Unk,
30,No,Travel_Rarely,Sales,29,3,Marketing,617,Male,1,Sales Executive,Divorced,25460,1,14,1,10,2,10,8,9,Resignation,Agreement particular scene also war who.
44,No,Travel_Rarely,Research & Development,3,4,Medical,618,Male,2,Research Scientist,Single,25640,1,12,3,20,3,20,13,17,Unk,
20,No,Travel_Rarely,Research & Development,18,4,Medical,619,Male,1,Human Resources,Single,84120,1,13,0,2,2,2,2,2,Involuntary,Artist technology ever body provide today doctor.
46,No,Travel_Rarely,Sales,9,1,Medical,620,Female,1,Sales Executive,Divorced,141180,2,22,0,12,3,6,1,4,Involuntary,Former treat check special economy.
42,No,Non-Travel,Research & Development,5,4,Medical,621,Male,5,Sales Executive,Married,170460,7,11,0,10,3,4,0,3,Unk,
60,No,Travel_Rarely,Sales,2,2,Life Sciences,622,Male,2,Sales Executive,Divorced,25640,0,14,1,12,3,11,1,9,Unk,
32,No,Travel_Frequently,Sales,10,3,Life Sciences,623,Female,1,Sales Executive,Married,102660,1,11,0,2,3,2,2,2,Involuntary,Plan capital firm foreign.
32,No,Travel_Frequently,Research & Development,9,3,Life Sciences,624,Female,2,Research Scientist,Single,50700,4,12,1,10,6,8,0,7,Unk,
36,No,Travel_Rarely,Sales,3,2,Marketing,625,Male,4,Healthcare Representative,Divorced,178610,2,18,0,17,2,7,7,7,Involuntary,Her office place.
33,No,Travel_Rarely,Sales,26,2,Marketing,626,Male,1,Research Scientist,Married,42300,0,12,0,15,0,14,4,10,Voluntary,Plant enjoy these drive themselves never hit PM.
40,No,Travel_Rarely,Research & Development,1,3,Medical,627,Female,2,Research Scientist,Divorced,37800,7,12,0,7,2,5,1,3,Resignation,Wind commercial in ahead will realize.
25,No,Travel_Rarely,Research & Development,6,2,Medical,628,Female,1,Laboratory Technician,Single,27680,0,22,1,5,0,4,1,1,Unk,
30,No,Travel_Rarely,Sales,9,3,Marketing,629,Female,1,Research Scientist,Married,90710,0,19,1,12,2,11,5,7,Unk,
42,No,Travel_Frequently,Human Resources,8,2,Medical,630,Male,1,Sales Executive,Married,106480,3,13,1,20,1,1,0,0,Unk,
35,No,Non-Travel,Research & Development,1,1,Life Sciences,631,Male,2,Sales Executive,Married,136100,4,22,2,16,4,13,4,12,Unk,
27,No,Travel_Rarely,Research & Development,7,3,Life Sciences,632,Male,3,Manufacturing Director,Married,34080,1,24,0,9,2,9,6,8,Unk,
54,No,Travel_Frequently,Research & Development,9,2,Medical,633,Male,2,Sales Representative,Divorced,29830,7,14,1,33,2,5,1,4,Unk,
44,No,Travel_Rarely,Human Resources,4,4,Life Sciences,634,Male,5,Laboratory Technician,Married,76320,1,21,0,10,3,10,7,7,Voluntary,Improve center sure Mr respond for recent.
19,Yes,Non-Travel,Sales,2,2,Other,635,Male,3,Healthcare Representative,Single,98240,1,18,0,1,2,1,0,0,Unk,
29,No,Travel_Rarely,Research & Development,19,4,Life Sciences,636,Male,1,Manufacturing Director,Divorced,99500,1,20,0,3,3,3,1,2,Involuntary,Rise activity learn step power simple sure.
54,No,Travel_Rarely,Research & Development,9,4,Life Sciences,637,Male,2,Sales Executive,Married,20930,3,19,0,36,2,10,0,9,Unk,
31,No,Travel_Rarely,Research & Development,21,3,Life Sciences,638,Male,2,Laboratory Technician,Married,99800,1,12,0,6,1,6,0,1,Retirement,North help rock stage someone book.
31,No,Travel_Rarely,Sales,24,1,Marketing,639,Female,1,Sales Executive,Single,38940,1,12,0,10,3,10,1,8,Unk,
59,No,Travel_Rarely,Research & Development,3,4,Technical Degree,640,Male,1,Research Scientist,Single,40510,5,16,3,13,3,6,0,5,Voluntary,Face garden central since several food.
43,No,Travel_Rarely,Research & Development,11,2,Life Sciences,641,Male,3,Laboratory Technician,Married,168350,3,17,1,25,3,8,0,7,Unk,
49,No,Travel_Rarely,Sales,14,4,Life Sciences,642,Male,2,Research Scientist,Married,62300,2,14,0,23,2,1,0,0,Unk,
36,No,Travel_Frequently,Sales,5,2,Marketing,643,Female,1,Laboratory Technician,Married,47170,1,19,1,12,3,11,0,7,Resignation,Really full stand face explain would keep energy.
48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,644,Female,2,Laboratory Technician,Single,132370,5,13,1,7,2,1,0,0,Resignation,Or add data indicate account father early these.
27,No,Travel_Rarely,Research & Development,6,4,Life Sciences,645,Male,2,Laboratory Technician,Divorced,37550,1,19,0,5,2,5,0,3,Involuntary,Guy ten dream. Thing he care series.
29,No,Travel_Rarely,Sales,17,4,Medical,646,Male,1,Laboratory Technician,Divorced,65820,1,19,1,6,3,6,1,0,Unk,
48,No,Travel_Rarely,Sales,1,1,Marketing,647,Male,2,Manufacturing Director,Single,74060,6,14,2,25,2,1,0,0,Unk,
29,No,Travel_Rarely,Research & Development,3,3,Technical Degree,648,Female,2,Healthcare Representative,Divorced,48050,NA,16,1,9,2,7,1,7,Voluntary,Professional usually hospital worker among.
34,No,Travel_Rarely,Sales,9,4,Medical,649,Female,2,Laboratory Technician,Married,27410,0,15,1,2,3,1,0,0,Involuntary,Health American identify meeting.
44,No,Travel_Rarely,Research & Development,4,3,Life Sciences,650,Female,1,Laboratory Technician,Married,42620,7,18,0,26,2,22,3,10,Retirement,Gun bill spend anyone.
33,No,Travel_Rarely,Research & Development,8,2,Life Sciences,651,Female,2,Research Scientist,Divorced,161840,0,13,1,10,2,9,0,8,Unk,
19,No,Travel_Rarely,Sales,2,4,Marketing,652,Male,3,Laboratory Technician,Single,115570,1,22,0,1,0,1,0,1,Voluntary,Crime west best industry right alone begin.
23,No,Travel_Rarely,Sales,2,3,Medical,653,Male,3,Laboratory Technician,Married,18780,1,13,1,1,2,1,0,1,Resignation,Story knowledge policy. Board tax treatment.
25,Yes,Travel_Frequently,Research & Development,1,1,Life Sciences,654,Male,1,Manufacturing Director,Single,109320,1,11,1,1,3,1,1,0,Unk,
26,No,Travel_Rarely,Human Resources,9,3,Life Sciences,655,Male,2,Research Scientist,Single,68110,1,11,1,8,4,8,2,2,Involuntary,Imagine plant southern sound reduce.
45,Yes,Travel_Rarely,Human Resources,12,3,Human Resources,656,Male,2,Laboratory Technician,Single,43060,2,11,2,26,3,24,1,11,Retirement,Resource top fear shake green view great which.
55,No,Non-Travel,Research & Development,27,3,Life Sciences,657,Female,2,Manager,Divorced,48590,1,24,1,34,3,33,15,0,Unk,
21,Yes,Travel_Frequently,Research & Development,20,2,Medical,658,Female,4,Research Scientist,Single,53370,1,14,1,2,2,2,2,2,Unk,
46,No,Travel_Rarely,Research & Development,1,4,Life Sciences,659,Male,1,Manufacturing Director,Married,23400,2,13,1,26,2,11,0,8,Unk,
34,No,Travel_Rarely,Sales,13,4,Medical,660,Male,3,Sales Representative,Single,74910,0,14,1,4,3,3,0,2,Voluntary,Thousand both simple network let.
51,No,Travel_Frequently,Research & Development,14,3,Life Sciences,661,Male,2,Research Director,Divorced,105270,4,14,0,31,3,29,11,10,Voluntary,Party explain perhaps.
59,No,Travel_Rarely,Research & Development,4,2,Life Sciences,662,Male,2,Research Scientist,Single,165950,6,21,1,25,2,9,5,4,Resignation,Specific fire rate fly clearly.
34,No,Travel_Frequently,Sales,14,4,Medical,663,Female,3,Research Scientist,Divorced,88340,4,13,1,15,1,11,5,10,Involuntary,Your plant win seem hair him career style.
28,No,Travel_Frequently,Research & Development,2,3,Other,664,Female,1,Manager,Single,55770,0,19,0,5,3,4,0,2,Unk,
44,No,Travel_Rarely,Research & Development,3,4,Life Sciences,665,Male,2,Research Scientist,Divorced,47070,1,17,0,26,4,25,14,13,Involuntary,Fine use card current agent.
34,No,Travel_Frequently,Sales,1,3,Life Sciences,666,Male,2,Sales Executive,Married,24000,4,18,1,14,3,10,1,8,Unk,
35,No,Travel_Rarely,Research & Development,9,3,Life Sciences,667,Male,4,Healthcare Representative,Married,98240,0,19,0,4,2,3,2,2,Unk,
42,No,Travel_Rarely,Research & Development,23,4,Life Sciences,668,Female,1,Manager,Married,64470,6,13,0,18,3,1,0,0,Unk,
43,No,Travel_Rarely,Research & Development,7,2,Medical,669,Female,1,Laboratory Technician,Single,195020,3,18,2,23,3,21,15,17,Unk,
36,No,Travel_Rarely,Research & Development,2,4,Medical,670,Male,1,Healthcare Representative,Single,27250,9,21,1,18,4,16,5,12,Voluntary,Issue loss day provide everyone white.
44,Yes,Travel_Rarely,Research & Development,21,4,Life Sciences,671,Female,2,Laboratory Technician,Married,62720,1,19,1,10,3,10,0,5,Involuntary,Blue star hospital work.
28,No,Travel_Frequently,Research & Development,2,3,Life Sciences,672,Female,2,Sales Representative,Married,21270,1,14,0,2,3,2,2,2,Involuntary,Meet fight night. Image room nation.
51,No,Travel_Frequently,Sales,21,4,Medical,673,Male,2,Research Scientist,Single,182000,0,17,0,8,3,7,7,7,Retirement,Person say might throw war scientist.
30,No,Non-Travel,Research & Development,2,4,Other,674,Male,1,Research Scientist,Single,20960,7,11,3,10,2,8,1,7,Unk,
29,Yes,Travel_Rarely,Research & Development,29,4,Technical Degree,675,Female,1,Sales Representative,Divorced,28860,3,13,0,10,4,7,7,7,Unk,
28,No,Travel_Rarely,Sales,1,4,Life Sciences,676,Female,2,Sales Representative,Single,20330,2,15,1,5,5,3,1,2,Unk,
25,No,Travel_Rarely,Research & Development,18,2,Life Sciences,677,Male,1,Research Scientist,Single,36220,1,25,0,2,0,2,2,1,Involuntary,Garden sit drive assume large seat.
32,No,Travel_Rarely,Research & Development,10,4,Other,678,Female,1,Sales Executive,Married,42330,1,11,0,10,5,10,0,8,Unk,
45,No,Travel_Frequently,Research & Development,19,3,Medical,679,Male,3,Laboratory Technician,Single,36810,3,17,1,22,2,0,0,0,Voluntary,Others suggest generation budget large west real.
39,No,Travel_Rarely,Sales,29,1,Marketing,680,Female,1,Laboratory Technician,Divorced,54600,6,13,2,21,3,19,15,2,Unk,
58,No,Travel_Rarely,Research & Development,27,3,Other,681,Male,2,Laboratory Technician,Divorced,21870,1,18,1,2,1,2,2,2,Unk,
32,Yes,Travel_Rarely,Research & Development,5,3,Technical Degree,682,Female,1,Sales Executive,Married,96020,1,13,1,10,3,10,1,1,Unk,
39,Yes,Travel_Rarely,Research & Development,18,2,Life Sciences,683,Male,2,Laboratory Technician,Single,28360,0,20,0,6,3,5,0,3,Retirement,Large although outside technology office.
30,No,Travel_Rarely,Sales,9,1,Marketing,684,Male,4,Research Director,Married,40890,0,18,0,10,2,9,6,7,Unk,
36,No,Travel_Rarely,Sales,1,3,Marketing,685,Male,2,Sales Executive,Married,166270,3,12,0,10,5,7,1,7,Retirement,Gun fly subject those. Must member financial.
46,No,Travel_Rarely,Sales,4,3,Medical,686,Male,1,Research Scientist,Single,26190,6,12,1,10,3,7,5,7,Unk,
28,No,Non-Travel,Research & Development,1,3,Medical,687,Male,5,Sales Executive,Married,56790,0,13,0,10,2,9,7,5,Unk,
50,No,Travel_Rarely,Research & Development,20,2,Medical,688,Female,5,Laboratory Technician,Married,154020,4,21,0,25,3,3,1,2,Unk,
40,Yes,Travel_Rarely,Sales,8,1,Other,689,Male,1,Laboratory Technician,Single,59850,2,13,3,9,1,5,1,0,Unk,
52,Yes,Travel_Rarely,Research & Development,3,2,Technical Degree,690,Male,3,Laboratory Technician,Single,25790,9,19,1,10,1,8,7,7,Voluntary,Maintain program process present knowledge PM.
30,No,Travel_Rarely,Research & Development,6,4,Medical,691,Female,1,Sales Executive,Married,30410,1,11,1,9,2,9,0,8,Resignation,Place impact which although.
39,No,Travel_Rarely,Research & Development,26,1,Medical,692,Male,2,Healthcare Representative,Single,34470,0,14,0,9,5,8,1,7,Retirement,Power picture early anyone.
31,No,Non-Travel,Research & Development,1,2,Medical,693,Male,1,Sales Executive,Divorced,195130,1,12,1,10,1,10,9,6,Involuntary,City mouth training radio Mrs.
41,No,Non-Travel,Sales,6,3,Life Sciences,694,Female,1,Research Director,Single,27730,1,11,0,19,3,19,11,9,Unk,
31,Yes,Travel_Frequently,Research & Development,3,1,Life Sciences,695,Male,1,Sales Executive,Single,71040,1,14,1,3,3,3,2,2,Unk,
44,Yes,Travel_Rarely,Sales,5,3,Life Sciences,696,Male,1,Laboratory Technician,Married,63220,4,11,1,10,2,3,1,2,Retirement,Food ball huge out simply according.
42,No,Non-Travel,Research & Development,4,3,Life Sciences,697,Male,2,Laboratory Technician,Married,20830,0,12,2,21,3,20,2,10,Unk,
55,No,Travel_Rarely,Sales,11,3,Technical Degree,698,Male,2,Manufacturing Director,Married,83810,4,15,1,23,3,19,9,11,Involuntary,Strategy fear tough wife here now.
56,No,Travel_Rarely,Sales,3,2,Medical,699,Female,3,Manufacturing Director,Single,26910,6,16,1,36,6,7,7,7,Unk,
40,No,Non-Travel,Research & Development,1,1,Life Sciences,700,Male,1,Laboratory Technician,Divorced,42860,9,15,0,6,6,4,0,0,Retirement,Feeling usually west peace money political the.
34,No,Travel_Rarely,Research & Development,3,2,Technical Degree,701,Male,2,Research Director,Divorced,26590,0,24,3,10,2,9,1,6,Unk,
40,No,Travel_Rarely,Sales,4,3,Medical,702,Male,2,Sales Executive,Single,94340,1,13,1,9,3,9,8,8,Unk,
41,No,Travel_Frequently,Sales,1,4,Other,703,Female,2,Healthcare Representative,Divorced,55610,0,11,0,10,2,9,1,7,Resignation,Mission media writer cell.
35,No,Travel_Frequently,Sales,1,2,Technical Degree,704,Male,2,Manager,Single,66460,1,13,1,9,2,9,1,1,Unk,
51,No,Travel_Rarely,Sales,18,2,Life Sciences,705,Male,4,Manufacturing Director,Divorced,77250,1,13,1,33,2,33,0,10,Unk,
38,No,Travel_Rarely,Sales,2,4,Life Sciences,706,Female,1,Research Scientist,Divorced,107250,3,18,0,11,5,7,1,7,Involuntary,Note claim hundred central bad.
34,No,Travel_Rarely,Sales,4,3,Life Sciences,707,Male,2,Research Scientist,Single,88470,1,16,0,10,3,10,9,6,Voluntary,Field year certainly data sense table yes.
25,No,Travel_Rarely,Research & Development,6,2,Medical,708,Female,4,Research Scientist,Married,20450,3,19,0,7,3,3,1,2,Retirement,For majority down.
58,Yes,Travel_Rarely,Sales,1,4,Technical Degree,709,Male,2,Sales Executive,Married,10090,7,13,2,31,3,10,5,9,Unk,
40,No,Travel_Rarely,Research & Development,14,4,Medical,710,Female,1,Research Scientist,Married,33480,3,22,0,7,2,4,0,3,Unk,
36,No,Travel_Frequently,Sales,16,2,Life Sciences,711,Male,1,Research Scientist,Married,12810,2,11,0,17,2,15,6,13,Unk,
48,No,Travel_Rarely,Research & Development,2,1,Life Sciences,712,Male,2,Research Scientist,Single,28190,1,20,0,11,2,10,0,8,Involuntary,It stay center free vote.
27,No,Travel_Rarely,Research & Development,2,3,Life Sciences,713,Female,2,Laboratory Technician,Married,48510,8,18,0,5,2,1,0,0,Involuntary,Most could result else think this window.
51,No,Travel_Rarely,Research & Development,4,1,Medical,714,Female,3,Manufacturing Director,Single,40280,3,14,0,29,3,5,0,3,Unk,
18,No,Non-Travel,Research & Development,1,4,Medical,715,Male,2,Sales Executive,Single,27200,1,22,1,0,2,0,0,0,Unk,
35,No,Travel_Rarely,Research & Development,1,4,Other,716,Female,2,Research Director,Married,81200,0,13,0,10,2,9,0,0,Unk,
27,No,Travel_Frequently,Research & Development,26,4,Medical,717,Female,1,Research Director,Single,46470,3,17,0,8,3,6,0,0,Resignation,Year total care thousand what each.
55,Yes,Travel_Rarely,Research & Development,19,3,Technical Degree,718,Male,1,Human Resources,Single,46800,6,14,3,24,0,19,3,8,Unk,
56,No,Travel_Rarely,Research & Development,24,4,Life Sciences,719,Male,2,Laboratory Technician,Married,32210,4,15,2,33,2,19,15,9,Unk,
34,No,Non-Travel,Sales,1,2,Life Sciences,720,Male,2,Research Scientist,Divorced,86210,1,17,1,5,1,5,0,0,Unk,
40,No,Travel_Rarely,Research & Development,3,3,Life Sciences,721,Male,2,Sales Executive,Divorced,45770,5,11,1,15,3,12,11,8,Involuntary,By small force myself team industry.
34,No,Travel_Rarely,Research & Development,5,3,Life Sciences,722,Male,1,Research Scientist,Married,45530,4,18,1,10,2,8,7,7,Unk,
31,Yes,Travel_Frequently,Research & Development,2,2,Medical,723,Female,2,Manufacturing Director,Single,53960,7,17,1,3,2,1,0,0,Unk,
35,Yes,Travel_Frequently,Research & Development,1,2,Medical,724,Male,1,Manufacturing Director,Married,67960,0,13,0,5,2,4,3,2,Unk,
38,No,Travel_Frequently,Research & Development,7,3,Medical,725,Female,2,Sales Representative,Divorced,76250,1,15,0,4,2,4,0,3,Unk,
34,No,Travel_Rarely,Research & Development,10,4,Other,726,Female,2,Laboratory Technician,Single,74120,1,24,0,14,4,14,4,11,Unk,
28,No,Travel_Rarely,Research & Development,2,3,Life Sciences,727,Female,2,Healthcare Representative,Married,111590,1,12,0,5,2,5,0,4,Resignation,Ok though floor sense want future.
31,Yes,Travel_Rarely,Research & Development,15,2,Life Sciences,728,Male,2,Sales Executive,Married,49600,1,15,0,10,3,10,6,7,Retirement,Leader above room hand collection imagine.
39,No,Travel_Rarely,Research & Development,17,4,Technical Degree,729,Female,2,Healthcare Representative,Married,104750,3,11,1,8,3,5,1,4,Resignation,Provide machine statement now.
51,No,Travel_Frequently,Research & Development,20,3,Medical,730,Male,2,Sales Executive,Married,148140,2,11,1,14,2,4,3,2,Voluntary,Science available hard.
41,No,Travel_Frequently,Research & Development,1,3,Life Sciences,731,Male,4,Sales Executive,Divorced,191410,3,12,1,12,2,6,3,3,Unk,
37,No,Travel_Rarely,Research & Development,2,2,Medical,732,Female,1,Healthcare Representative,Married,54050,7,15,0,8,3,6,1,3,Resignation,Himself final success these or card strategy.
33,No,Travel_Frequently,Research & Development,2,3,Medical,733,Female,1,Sales Executive,Married,87930,6,17,0,8,2,5,1,2,Unk,
32,No,Travel_Rarely,Research & Development,1,4,Medical,734,Male,5,Research Director,Married,191890,0,12,1,4,3,3,1,2,Retirement,Help economic analysis campaign young leg.
39,No,Non-Travel,Research & Development,29,2,Life Sciences,735,Male,2,Sales Executive,Married,38750,3,15,0,13,3,6,0,5,Unk,
25,No,Travel_Rarely,Research & Development,7,4,Life Sciences,736,Male,1,Sales Executive,Married,22160,2,13,3,6,2,3,1,2,Resignation,For law simple design entire while.
52,No,Travel_Frequently,Research & Development,2,1,Life Sciences,737,Male,2,Sales Executive,Married,117130,2,14,0,24,2,5,0,2,Unk,
43,No,Travel_Rarely,Research & Development,2,2,Medical,738,Male,1,Laboratory Technician,Single,78610,1,14,2,20,1,20,1,8,Unk,
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,739,Male,1,Human Resources,Married,37080,1,16,2,6,2,6,4,4,Unk,
27,Yes,Travel_Rarely,Research & Development,2,5,Life Sciences,740,Female,1,Research Scientist,Single,137700,1,18,1,8,3,8,7,7,Unk,
26,No,Travel_Rarely,Research & Development,2,2,Other,741,Male,3,Laboratory Technician,Single,53040,0,20,1,5,2,4,1,1,Unk,
42,No,Travel_Rarely,Sales,23,3,Marketing,742,Female,3,Research Scientist,Married,26420,0,13,1,21,3,20,0,9,Unk,
52,No,Travel_Rarely,Research & Development,5,2,Life Sciences,743,Female,1,Healthcare Representative,Married,27590,9,18,1,12,6,5,0,4,Unk,
37,No,Travel_Rarely,Research & Development,20,5,Life Sciences,744,Male,2,Manager,Single,68040,4,13,1,8,1,3,0,2,Unk,
35,No,Travel_Frequently,Research & Development,6,4,Medical,745,Female,2,Research Director,Single,61420,2,15,1,10,2,2,2,2,Unk,
25,No,Travel_Rarely,Research & Development,1,4,Medical,746,Male,2,Sales Executive,Married,25000,4,14,2,7,2,3,0,2,Voluntary,Truth game down which.
26,No,Travel_Rarely,Research & Development,29,4,Life Sciences,747,Male,1,Research Scientist,Single,63890,0,22,0,8,2,7,0,7,Resignation,Sure trip sound action.
29,No,Travel_Rarely,Sales,9,3,Life Sciences,748,Male,1,Laboratory Technician,Single,111030,1,12,0,10,5,10,0,9,Resignation,Treatment power card almost pretty sister.
49,Yes,Travel_Frequently,Sales,6,5,Medical,749,Female,2,Healthcare Representative,Single,23420,3,18,0,20,2,4,1,3,Voluntary,Reduce subject positive war score interesting.
29,Yes,Travel_Frequently,Sales,3,2,Marketing,750,Female,2,Laboratory Technician,Single,68110,0,15,1,9,2,8,7,7,Unk,
54,No,Travel_Rarely,Sales,1,3,Medical,751,Female,2,Manager,Single,22970,6,18,2,29,2,20,12,7,Unk,
58,No,Travel_Rarely,Sales,22,3,Life Sciences,752,Female,2,Laboratory Technician,Married,24500,3,12,1,32,2,9,1,5,Involuntary,Occur air as along approach.
55,No,Travel_Rarely,Research & Development,7,3,Life Sciences,753,Female,3,Research Scientist,Divorced,50930,2,16,1,31,3,7,0,0,Unk,
36,No,Travel_Rarely,Research & Development,1,3,Medical,754,Male,2,Sales Executive,Single,53090,3,13,0,15,5,5,0,1,Unk,
31,Yes,Travel_Frequently,Sales,4,3,Life Sciences,755,Male,2,Manager,Single,30570,1,19,0,1,3,1,0,0,Unk,
30,No,Travel_Rarely,Sales,3,3,Life Sciences,756,Male,3,Sales Executive,Divorced,51210,7,13,0,8,4,3,0,2,Voluntary,Here best worry rich might about yourself.
31,No,Travel_Rarely,Research & Development,1,3,Medical,757,Male,1,Laboratory Technician,Single,168560,3,12,1,9,3,3,1,0,Unk,
34,No,Travel_Frequently,Sales,2,1,Marketing,758,Female,5,Manager,Divorced,26860,5,11,0,10,3,4,1,3,Involuntary,New out peace director fish.
31,Yes,Travel_Rarely,Sales,20,3,Technical Degree,759,Male,1,Research Scientist,Single,61800,1,14,1,1,2,1,0,0,Unk,
27,No,Travel_Rarely,Human Resources,11,4,Medical,760,Male,4,Sales Executive,Married,66320,0,16,0,6,3,5,1,4,Unk,
36,No,Travel_Rarely,Sales,1,3,Marketing,761,Male,2,Research Scientist,Single,35050,1,12,2,10,2,10,1,8,Unk,
36,No,Travel_Rarely,Research & Development,24,3,Other,762,Female,3,Research Director,Married,63970,4,14,1,11,3,3,0,2,Retirement,Direction west appear son school anything.
47,No,Travel_Rarely,Research & Development,23,4,Life Sciences,763,Female,2,Sales Executive,Married,62740,7,14,2,17,0,6,1,2,Involuntary,Somebody pass again say cultural.
25,Yes,Travel_Rarely,Sales,16,4,Life Sciences,764,Male,2,Research Scientist,Married,198590,3,19,0,6,3,3,2,2,Resignation,Table day sit wish attention marriage cause.
37,No,Non-Travel,Sales,8,4,Medical,765,Male,1,Healthcare Representative,Single,75870,0,22,1,7,5,6,1,3,Unk,
56,No,Travel_Rarely,Research & Development,10,4,Other,766,Male,2,Sales Representative,Married,42580,2,16,0,5,2,3,1,0,Unk,
47,No,Travel_Rarely,Research & Development,3,2,Medical,767,Male,2,Laboratory Technician,Married,43640,3,11,1,26,3,20,5,6,Involuntary,Onto focus address treat before ability.
24,No,Travel_Rarely,Research & Development,5,1,Other,768,Male,1,Manufacturing Director,Married,43350,1,15,1,5,5,5,0,3,Resignation,Tonight answer benefit second commercial law.
32,No,Travel_Rarely,Sales,4,3,Marketing,769,Male,1,Research Scientist,Married,53260,4,14,1,7,2,4,0,3,Retirement,Window management move.
34,No,Travel_Rarely,Research & Development,9,2,Medical,770,Male,1,Sales Executive,Married,32800,5,13,0,7,3,5,0,2,Unk,
41,No,Travel_Rarely,Research & Development,26,3,Medical,771,Female,3,Sales Executive,Married,54850,2,17,2,7,2,4,0,3,Unk,
40,No,Non-Travel,Sales,3,2,Life Sciences,772,Male,1,Sales Executive,Divorced,43420,3,11,1,11,6,8,0,7,Unk,
31,No,Travel_Rarely,Research & Development,16,3,Medical,773,Male,2,Human Resources,Divorced,27820,1,19,1,13,5,13,9,9,Unk,
46,Yes,Travel_Rarely,Research & Development,18,1,Medical,774,Male,1,Manufacturing Director,Divorced,59800,4,11,1,28,2,7,4,3,Unk,
39,Yes,Non-Travel,Research & Development,2,4,Medical,775,Male,2,Manufacturing Director,Single,43810,2,15,2,11,1,1,0,0,Voluntary,Information race relate rich poor already make.
31,Yes,Travel_Frequently,Sales,2,3,Medical,776,Male,2,Sales Executive,Single,25720,1,13,3,10,3,10,4,7,Voluntary,Tough that inside relate hundred leave.
45,No,Travel_Rarely,Sales,10,2,Marketing,777,Male,1,Sales Executive,Divorced,38330,2,14,0,24,1,7,0,7,Unk,
31,No,Travel_Rarely,Research & Development,16,4,Life Sciences,778,Male,3,Human Resources,Single,42440,9,13,0,8,3,3,0,2,Voluntary,Attention summer we. Suffer impact imagine we.
31,Yes,Travel_Frequently,Research & Development,7,4,Life Sciences,779,Male,1,Laboratory Technician,Married,65000,6,23,1,7,5,2,2,2,Unk,
45,No,Travel_Rarely,Research & Development,1,2,Life Sciences,780,Female,1,Research Scientist,Married,184300,4,12,1,10,5,3,1,2,Voluntary,Various step without couple within at gun.
48,No,Travel_Rarely,Research & Development,24,3,Technical Degree,781,Male,2,Research Scientist,Divorced,16010,4,12,0,15,3,2,2,2,Unk,
34,Yes,Travel_Rarely,Research & Development,7,4,Medical,782,Male,2,Research Scientist,Married,26940,1,16,1,2,3,2,2,2,Retirement,Decision example see low someone. Ball week that.
40,No,Non-Travel,Research & Development,25,4,Other,783,Female,1,Sales Executive,Divorced,31490,2,15,1,16,1,9,4,8,Unk,
28,No,Travel_Rarely,Research & Development,1,2,Technical Degree,784,Female,1,Research Scientist,Single,176390,0,13,1,6,0,5,1,3,Involuntary,Carry parent fight style series challenge.
44,No,Non-Travel,Research & Development,5,3,Life Sciences,785,Male,1,Laboratory Technician,Single,23190,3,18,0,7,4,5,0,3,Voluntary,Community probably bad day food place which loss.
53,No,Travel_Rarely,Research & Development,2,4,Technical Degree,786,Male,2,Manager,Single,116910,4,20,0,35,2,9,8,8,Voluntary,Start debate hot fact keep return.
49,No,Travel_Rarely,Research & Development,7,3,Life Sciences,787,Male,3,Laboratory Technician,Married,53240,2,19,0,20,2,3,1,2,Unk,
